timestamp,syscall,args,result,latency
1765134154.4620821,execve,"""/usr/bin/python3"", [""python3"", ""dummy_app.py""], 0",0,0.005398
1765134154.463768,brk,NULL,0x6339ffa95000,0.000768
1765134154.4687161,arch_prctl,"0x3001 /* ARCH_??? */, 0x7ffff5babc40",-1,0.001143
1765134154.4701676,mmap,"NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_",0x70a436a7c000,0.000624
1765134154.4720712,access,"""/etc/ld.so.preload"", R_OK",-1,0.000656
1765134154.4741015,openat,"AT_FDCWD, ""/etc/ld.so.cache"", O_RDONLY|O_CLOEXEC",3,0.000673
1765134154.4749935,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=63616, ...},",0,0.00037
1765134154.476135,mmap,"NULL, 63616, PROT_READ, MAP_PRIVATE, 3, 0",0x70a436a6c000,0.000607
1765134154.4776123,close,3,0,0.000867
1765134154.4789984,openat,"AT_FDCWD, ""/lib/x86_64-linux-gnu/libm.so.6"", O_RDO",3,0.000753
1765134154.4804459,read,"3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0",832,0.000399
1765134154.482186,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=940560, ...}",0,0.000814
1765134154.4832997,mmap,"NULL, 942344, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE",0x70a436985000,0.000482
1765134154.4849193,mmap,"0x70a436993000, 507904, PROT_READ|PROT_EXEC, MAP_P",0x70a436993000,0.000686
1765134154.4861975,mmap,"0x70a436a0f000, 372736, PROT_READ, MAP_PRIVATE|MAP",0x70a436a0f000,0.000516
1765134154.4873567,mmap,"0x70a436a6a000, 8192, PROT_READ|PROT_WRITE, MAP_PR",0x70a436a6a000,0.000447
1765134154.4891148,close,3,0,0.00052
1765134154.4907527,openat,"AT_FDCWD, ""/lib/x86_64-linux-gnu/libexpat.so.1"", O",3,0.00083
1765134154.4919863,read,"3, ""\177ELF\2\1\1\0\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0",832,0.000632
1765134154.4930472,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=194872, ...}",0,0.000659
1765134154.4940913,mmap,"NULL, 196792, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE",0x70a436954000,0.000502
1765134154.4952164,mprotect,"0x70a436958000, 172032, PROT_NONE",0,0.000543
1765134154.4963083,mmap,"0x70a436958000, 126976, PROT_READ|PROT_EXEC, MAP_P",0x70a436958000,0.00045
1765134154.497543,mmap,"0x70a436977000, 40960, PROT_READ, MAP_PRIVATE|MAP_",0x70a436977000,0.000532
1765134154.4991906,mmap,"0x70a436982000, 12288, PROT_READ|PROT_WRITE, MAP_P",0x70a436982000,0.000543
1765134154.500171,close,3,0,0.000531
1765134154.5011225,openat,"AT_FDCWD, ""/lib/x86_64-linux-gnu/libz.so.1"", O_RDO",3,0.000479
1765134154.5023859,read,"3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0",832,0.000712
1765134154.5038245,newfstatat,"3, """", {st_mode=S_IFREG|0644, st_size=108936, ...}",0,0.000657
1765134154.5060613,mmap,"NULL, 110776, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE",0x70a436938000,0.001749
1765134154.5071893,mprotect,"0x70a43693a000, 98304, PROT_NONE",0,0.000787
1765134154.5086443,mmap,"0x70a43693a000, 69632, PROT_READ|PROT_EXEC, MAP_PR",0x70a43693a000,0.000665
1765134154.5097752,mmap,"0x70a43694b000, 24576, PROT_READ, MAP_PRIVATE|MAP_",0x70a43694b000,0.000537
1765134154.5108843,mmap,"0x70a436952000, 8192, PROT_READ|PROT_WRITE, MAP_PR",0x70a436952000,0.000558
1765134154.5118508,close,3,0,0.000512
1765134154.5137143,openat,"AT_FDCWD, ""/lib/x86_64-linux-gnu/libc.so.6"", O_RDO",3,0.001
1765134154.51484,read,"3, ""\177ELF\2\1\1\3\0\0\0\0\0\0\0\0\3\0>\0\1\0\0\0",832,0.000714
1765134154.5153797,pread64,"3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0",784,0.000331
1765134154.5167563,pread64,"3, ""\4\0\0\0 \0\0\0\5\0\0\0GNU\0\2\0\0\300\4\0\0\0",48,0.000532
1765134154.5179546,pread64,"3, ""\4\0\0\0\24\0\0\0\3\0\0\0GNU\0O{\f\225\\=\201\",68,0.000634
1765134154.5192347,newfstatat,"3, """", {st_mode=S_IFREG|0755, st_size=2220400, ...",0,0.000728
1765134154.5205374,pread64,"3, ""\6\0\0\0\4\0\0\0@\0\0\0\0\0\0\0@\0\0\0\0\0\0\0",784,0.000703
1765134154.5215924,mmap,"NULL, 2264656, PROT_READ, MAP_PRIVATE|MAP_DENYWRIT",0x70a436600000,0.000521
1765134154.5232112,mprotect,"0x70a436628000, 2023424, PROT_NONE",0,0.000892
1765134154.524832,mmap,"0x70a436628000, 1658880, PROT_READ|PROT_EXEC, MAP_",0x70a436628000,0.000664
1765134154.5262756,mmap,"0x70a4367bd000, 360448, PROT_READ, MAP_PRIVATE|MAP",0x70a4367bd000,0.000703
1765134154.5273933,mmap,"0x70a436816000, 24576, PROT_READ|PROT_WRITE, MAP_P",0x70a436816000,0.00043
1765134154.5288565,mmap,"0x70a43681c000, 52816, PROT_READ|PROT_WRITE, MAP_P",0x70a43681c000,0.000773
1765134154.530124,close,3,0,0.000609
1765134154.5372467,mmap,"NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_",0x70a436936000,0.005755
1765134154.5382485,arch_prctl,"ARCH_SET_FS, 0x70a436937000",0,0.000753
1765134154.5393133,set_tid_address,0x70a4369372d0,83633,0.000502
1765134154.5413077,set_robust_list,"0x70a4369372e0, 24",0,0.001
